name,property_Type,place,link
"The Originals Hotel des Marins, St Malo", Hotel , France > Brittany > ST MALO ,https://www.brittany-ferries.co.uk/holidays/details/hf2771/the-originals-hotel-des-marins-st-malo
"Best Western Hotel Adagio, Saumur", Hotel , France > Atlantic Loire Valley > SAUMUR ,https://www.brittany-ferries.co.uk/holidays/details/hf1279/best-western-hotel-adagio-saumur
"Au Moyne de Saire, Réville", Hotel , France > Normandy > REVILLE ,https://www.brittany-ferries.co.uk/holidays/details/hf2918/au-moyne-de-saire-reville
"The Originals du Château, Dinan", Hotel , France > Brittany > DINAN ,https://www.brittany-ferries.co.uk/holidays/details/hf2723/the-originals-du-chateau-dinan
"Mercure le Grand Large, Granville", Hotel , France > Normandy > GRANVILLE ,https://www.brittany-ferries.co.uk/holidays/details/hf2769/mercure-le-grand-large-granville
"La Mare O Poissons, Ouistreham", Hotel , France > Normandy > OUISTREHAM ,https://www.brittany-ferries.co.uk/holidays/details/hf2866/la-mare-o-poissons-ouistreham
"Hotel Mercure Dinan Port, Dinan", Hotel , France > Brittany > DINAN ,https://www.brittany-ferries.co.uk/holidays/details/hf2531/hotel-mercure-dinan-port-dinan
"Hotel Garrigae Cap Coz, Fouesnant", Hotel , France > Brittany > FOUESNANT ,https://www.brittany-ferries.co.uk/holidays/details/hf1850/hotel-garrigae-cap-coz-fouesnant
"Hotel de L'Europe, Morlaix", Hotel , France > Brittany > MORLAIX ,https://www.brittany-ferries.co.uk/holidays/details/hf0338/hotel-de-leurope-morlaix
"Hotel des Roches, Les Eyzies de Tayac", Hotel , France > Aquitaine > LES EYZIES EN PERIGORD ,https://www.brittany-ferries.co.uk/holidays/details/hf2416/hotel-des-roches-les-eyzies-de-tayac
"Hotel Mercure Majestic, La Baule", Hotel , France > Atlantic Loire Valley > LA BAULE ,https://www.brittany-ferries.co.uk/holidays/details/hf1817/hotel-mercure-majestic-la-baule
"Hotel le Beauséjour, Erquy", Hotel , France > Brittany > ERQUY ,https://www.brittany-ferries.co.uk/holidays/details/hf2993/hotel-le-beausejour-erquy
"Hotel Escale Oceania, St Malo", Hotel , France > Brittany > ST MALO ,https://www.brittany-ferries.co.uk/holidays/details/hf0645/hotel-escale-oceania-st-malo
"Auberge du Centre, Chitenay", Hotel , France > Loire Valley > CHITENAY ,https://www.brittany-ferries.co.uk/holidays/details/hf2660/auberge-du-centre-chitenay
"Hotel Ibis Caen Centre, Caen", Hotel , France > Normandy > CAEN ,https://www.brittany-ferries.co.uk/holidays/details/hf1974/hotel-ibis-caen-centre-caen
"Best Western Plus Centre Vannes, Vannes", Hotel , France > Brittany > VANNES ,https://www.brittany-ferries.co.uk/holidays/details/hf2826/best-western-plus-centre-vannes-vannes
"Château de Bellefontaine, Bayeux", Hotel , France > Normandy > BAYEUX ,https://www.brittany-ferries.co.uk/holidays/details/hf1815/chateau-de-bellefontaine-bayeux
"Hotel le Lion d'Or, Bayeux", Hotel , France > Normandy > BAYEUX ,https://www.brittany-ferries.co.uk/holidays/details/hf2131/hotel-le-lion-dor-bayeux
"The Originals Argi-Eder, Ainhoa", Hotel , France > Aquitaine > AINHOA ,https://www.brittany-ferries.co.uk/holidays/details/hf0736/the-originals-argi-eder-ainhoa
"Hotel Escale Oceania, Biarritz", Hotel , France > Aquitaine > BIARRITZ ,https://www.brittany-ferries.co.uk/holidays/details/hf2799/hotel-escale-oceania-biarritz
"Hôtel Valdys Thalasso & SPA - Les Pins, St Jean de Monts", Hotel , France > Atlantic Loire Valley > ST JEAN DE MONTS ,https://www.brittany-ferries.co.uk/holidays/details/hf2915/hotel-valdys-thalasso-and-spa-les-pins-st-jean-de-monts
"Grand Hotel de Courtoisville, St Malo", Hotel , France > Brittany > ST MALO ,https://www.brittany-ferries.co.uk/holidays/details/hf2950/grand-hotel-de-courtoisville-st-malo
"La Maison des Armateurs, St Malo", Hotel , France > Brittany > ST MALO ,https://www.brittany-ferries.co.uk/holidays/details/hf2908/la-maison-des-armateurs-st-malo
"Hotel Gradlon, Quimper", Hotel , France > Brittany > QUIMPER ,https://www.brittany-ferries.co.uk/holidays/details/hf2635/hotel-gradlon-quimper
"Hotel l'Artist, Tours", Hotel , France > Loire Valley > TOURS ,https://www.brittany-ferries.co.uk/holidays/details/hf2820/hotel-lartist-tours
"Hotel Le Dauphin & Le Spa du Prieuré, Caen", Hotel , France > Normandy > CAEN ,https://www.brittany-ferries.co.uk/holidays/details/hf0843/hotel-le-dauphin-and-le-spa-du-prieure-caen
"Le M Hotel, Honfleur", Hotel , France > Normandy > HONFLEUR ,https://www.brittany-ferries.co.uk/holidays/details/hf0251/le-m-hotel-honfleur
"Hotel Palacio de Vallados, Lastres", Hotel , Spain > Asturias > LASTRES ,https://www.brittany-ferries.co.uk/holidays/details/hs0264/hotel-palacio-de-vallados-lastres
